POSTNR,HEITI_NF,HEITI_TGF
101,Bergþórugata 8,Bergþórugötu 8
101,Bergþórugata 9,Bergþórugötu 9
101,Bjargarstígur 12,Bjargarstíg 12
101,Bjargarstígur 14,Bjargarstíg 14
101,Bjargarstígur 15,Bjargarstíg 15
101,Bjargarstígur 16,Bjargarstíg 16
101,Bjargarstígur 17,Bjargarstíg 17
101,Bjargarstígur 2,Bjargarstíg 2
101,Bjargarstígur 3,Bjargarstíg 3
101,Bjargarstígur 5,Bjargarstíg 5
101,Bjargarstígur 6,Bjargarstíg 6
101,Bjargarstígur 7,Bjargarstíg 7
101,Bjarkargata 10,Bjarkargötu 10
101,Bjarkargata 10b,Bjarkargötu 10b
101,Bjarkargata 12,Bjarkargötu 12
101,Bjarkargata 14,Bjarkargötu 14
101,Bjarkargata 2,Bjarkargötu 2
101,Bjarkargata 4,Bjarkargötu 4
101,Bjarkargata 6,Bjarkargötu 6
101,Bjarkargata 8,Bjarkargötu 8
101,Bjarnarstígur 1,Bjarnarstíg 1
101,Bjarnarstígur 10,Bjarnarstíg 10
101,Bjarnarstígur 11,Bjarnarstíg 11
101,Bjarnarstígur 12,Bjarnarstíg 12
101,Bjarnarstígur 3,Bjarnarstíg 3
101,Bjarnarstígur 4,Bjarnarstíg 4
101,Bjarnarstígur 5,Bjarnarstíg 5
101,Bjarnarstígur 6,Bjarnarstíg 6
101,Bjarnarstígur 7,Bjarnarstíg 7
101,Bjarnarstígur 8,Bjarnarstíg 8
101,Bjarnarstígur 9,Bjarnarstíg 9
101,Blómvallagata 10,Blómvallagötu 10
101,Blómvallagata 10A,Blómvallagötu 10A
101,Blómvallagata 11,Blómvallagötu 11
101,Blómvallagata 12,Blómvallagötu 12
101,Blómvallagata 13,Blómvallagötu 13
101,Blómvallagata 2,Blómvallagötu 2
101,Blómvallagata 7,Blómvallagötu 7
101,Bragagata 16,Bragagötu 16
101,Bragagata 21,Bragagötu 21
101,Bragagata 22,Bragagötu 22
101,Bragagata 22A,Bragagötu 22A
101,Bragagata 23,Bragagötu 23
101,Bragagata 24,Bragagötu 24
101,Bragagata 25,Bragagötu 25
101,Bragagata 26,Bragagötu 26
101,Bragagata 26A,Bragagötu 26A
101,Bragagata 27,Bragagötu 27
101,Bragagata 28,Bragagötu 28
101,Bragagata 29,Bragagötu 29
101,Bragagata 29A,Bragagötu 29A
101,Bragagata 29B,Bragagötu 29B
101,Bragagata 30,Bragagötu 30
101,Bragagata 31,Bragagötu 31
101,Bragagata 31B,Bragagötu 31B
101,Bragagata 32,Bragagötu 32
101,Bragagata 33,Bragagötu 33
101,Bragagata 33A,Bragagötu 33A
101,Bragagata 34,Bragagötu 34
101,Bragagata 34A,Bragagötu 34A
101,Bragagata 34B,Bragagötu 34B
101,Bragagata 35,Bragagötu 35
101,Bragagata 36,Bragagötu 36
101,Bragagata 38,Bragagötu 38
101,Bragagata 38A,Bragagötu 38A
101,Brattagata 3A,Bröttugötu 3A
101,Brattagata 3B,Bröttugötu 3B
101,Brattagata 6,Bröttugötu 6
101,Brekkustígur 1,Brekkustíg 1
101,Brekkustígur 10,Brekkustíg 10
101,Brekkustígur 12,Brekkustíg 12
101,Brekkustígur 14,Brekkustíg 14
101,Brekkustígur 14B,Brekkustíg 14B
101,Brekkustígur 15,Brekkustíg 15
101,Brekkustígur 15B,Brekkustíg 15B
101,Brekkustígur 16,Brekkustíg 16
101,Brekkustígur 17,Brekkustíg 17
101,Brekkustígur 19,Brekkustíg 19
101,Brekkustígur 2,Brekkustíg 2
101,Brekkustígur 3,Brekkustíg 3
101,Brekkustígur 3A,Brekkustíg 3A
101,Brekkustígur 4,Brekkustíg 4
101,Brekkustígur 4A,Brekkustíg 4A
101,Brekkustígur 4B,Brekkustíg 4B
101,Brekkustígur 5,Brekkustíg 5
101,Brekkustígur 5A,Brekkustíg 5A
101,Brekkustígur 6,Brekkustíg 6
101,Brekkustígur 6A,Brekkustíg 6A
101,Brekkustígur 6B,Brekkustíg 6B
101,Brekkustígur 6C,Brekkustíg 6C
101,Brekkustígur 7,Brekkustíg 7
101,Brekkustígur 8,Brekkustíg 8
101,Brekkustígur 9,Brekkustíg 9
101,Bryggjugata 2,Bryggjugötu 2
101,Bryggjugata 4,Bryggjugötu 4
101,Bryggjugata 6,Bryggjugötu 6
101,Bryggjugata 8,Bryggjugötu 8
101,Brávallagata 10,Brávallagötu 10
101,Brávallagata 12,Brávallagötu 12
101,Brávallagata 14,Brávallagötu 14
101,Brávallagata 16,Brávallagötu 16
101,Brávallagata 16A,Brávallagötu 16A
101,Brávallagata 18,Brávallagötu 18
101,Brávallagata 20,Brávallagötu 20
101,Brávallagata 22,Brávallagötu 22
101,Brávallagata 24,Brávallagötu 24
101,Brávallagata 26,Brávallagötu 26
101,Brávallagata 3,Brávallagötu 3
101,Brávallagata 30,Brávallagötu 30
101,Brávallagata 4,Brávallagötu 4
101,Brávallagata 40,Brávallagötu 40
