UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,6513,605,14400000,"147,4",97693,Einbýli
2006-05,2000,230,11600000,"77,3",150065,Fjölbýli
2006-05,2000,260,14100000,"114,5",123144,Einbýli
2006-05,2000,260,10700000,"71,5",149650,Fjölbýli
2006-03,1400,221,65000000,"290,7",223598,Einbýli
2006-05,0,112,21700000,"110,6",196203,Fjölbýli
2006-05,0,109,17900000,"100,3",178465,Fjölbýli
2006-05,0,109,18400000,"113,4",162257,Fjölbýli
2006-05,3609,310,12300000,"132,9",92551,Fjölbýli
2006-05,0,109,16000000,"88,1",181612,Fjölbýli
2006-05,0,101,74100000,"193,5",382946,Fjölbýli
2006-05,1400,220,14900000,"84,9",175501,Fjölbýli
2006-05,0,112,39000000,"164,0",237805,Einbýli
2006-05,0,108,8400000,"29,9",280936,Fjölbýli
2006-05,0,111,12500000,"68,9",181422,Fjölbýli
2006-05,8000,900,8310000,"132,4",62764,Einbýli
2006-05,1400,220,32200000,"140,7",228856,Fjölbýli
2006-05,1400,220,21000000,"93,5",224599,Fjölbýli
2006-05,0,109,19000000,"112,1",169492,Fjölbýli
2006-05,0,105,23200000,"113,9",203687,Fjölbýli
2006-05,0,110,12500000,"58,0",215517,Fjölbýli
2006-05,5716,550,7500000,"65,9",113809,Fjölbýli
2006-05,0,104,19750000,"69,6",283764,Fjölbýli
2006-05,0,104,19750000,"69,3",284993,Fjölbýli
2006-05,0,107,16500000,"69,4",237752,Fjölbýli
2006-05,1000,200,12800000,"59,1",216582,Fjölbýli
2006-05,1100,nan,55000000,"201,0",273632,Einbýli
2006-05,8401,781,8900000,"144,6",61549,Einbýli
2006-05,8401,780,10700000,"188,1",56885,Einbýli
2006-05,0,112,16900000,"81,7",206854,Fjölbýli
2006-05,0,104,15750000,"75,5",208609,Fjölbýli
2006-05,0,104,33800000,"147,8",228687,Fjölbýli
2006-05,2000,230,5500000,"31,5",174603,Fjölbýli
2006-05,0,101,21000000,"71,4",294118,Fjölbýli
2006-05,0,107,30000000,"92,1",325733,Fjölbýli
2006-05,0,112,21300000,"104,8",203244,Fjölbýli
2006-05,1400,221,58100000,"270,6",214708,Einbýli
2006-05,0,111,14200000,"78,2",181586,Fjölbýli
2006-05,4100,415,1300000,"70,7",18388,Fjölbýli
2006-05,4100,415,1050000,"51,7",20309,Fjölbýli
2006-05,4100,415,1300000,"70,7",18388,Fjölbýli
2006-05,3000,300,20900000,"98,5",212183,Fjölbýli
2006-05,3000,300,8800000,"63,9",137715,Fjölbýli
2006-05,0,101,34500000,"127,2",271226,Fjölbýli
2006-05,0,109,13600000,"73,2",185792,Fjölbýli
2006-05,0,112,22600000,"108,8",207721,Fjölbýli
2006-05,3714,355,7310000,"71,5",102238,Einbýli
2006-05,5508,530,15500000,"229,3",67597,Einbýli
