UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,1400,220,17400000,"96,5",180311,Fjölbýli
2006-05,0,110,8400000,"45,7",183807,Fjölbýli
2006-05,0,101,32400000,"143,2",226257,Fjölbýli
2006-05,2000,260,11500000,"144,3",79695,Einbýli
2006-05,1000,200,23000000,"117,5",195745,Fjölbýli
2006-05,1604,270,45000000,"164,9",272893,Sérbýli
2006-05,0,101,37000000,"110,1",336058,Fjölbýli
2006-05,8200,800,11500000,"74,3",154778,Fjölbýli
2006-05,8717,815,17900000,"136,2",131424,Sérbýli
2006-05,1100,170,14500000,"74,6",194370,Fjölbýli
2006-05,1300,210,44500000,"208,0",213942,Einbýli
2006-05,6613,660,15000000,"186,7",80343,Einbýli
2006-05,6250,625,5500000,"126,5",43478,Fjölbýli
2006-05,6000,600,32100000,"196,6",163276,Einbýli
2006-05,6000,600,13000000,"107,6",120818,Fjölbýli
2006-05,6000,600,30000000,"311,1",96432,Einbýli
2006-05,2000,230,11600000,"77,7",149292,Fjölbýli
