season,position,,team,played,won,drawn,lost,goals,goal difference,points,goals for,goals against,points per game,last result,form,gf,ga,games scored in,clean sheets
2022-2023,9.0,,Manchester United,9,4,2,3,14:17,-3,14,14,17,1.56,L,W-W-D-D-L,1,1,8,2
2022-2023,7.0,,Manchester United,10,5,2,3,16:18,-2,17,16,18,1.7,W,W-D-D-L-W,1,1,9,2
2022-2023,7.0,,Manchester United,11,5,3,3,16:18,-2,18,16,18,1.64,D,D-D-L-W-D,0,0,9,3
2022-2023,7.0,,Manchester United,12,6,3,3,18:18,0,21,18,18,1.75,W,D-L-W-D-W,1,0,10,4
2022-2023,6.0,,Manchester United,13,6,4,3,19:19,0,22,19,19,1.69,D,L-W-D-W-D,1,1,11,4
2022-2023,5.0,,Manchester United,14,7,4,3,20:19,1,25,20,19,1.79,W,W-D-W-D-W,1,0,12,5
2022-2023,6.0,,Manchester United,15,7,4,4,21:22,-1,25,21,22,1.67,L,D-W-D-W-L,1,1,13,5
2022-2023,5.0,,Manchester United,16,8,4,4,23:23,0,28,23,23,1.75,W,W-D-W-L-W,1,1,14,5
2022-2023,4.0,,Manchester United,17,9,4,4,26:23,3,31,26,23,1.82,W,D-W-L-W-W,1,0,15,6
2022-2023,4.0,,Manchester United,18,10,4,4,27:23,4,34,27,23,1.89,W,W-L-W-W-W,1,0,16,7
2022-2023,4.0,,Manchester United,19,11,4,4,30:23,7,37,30,23,1.95,W,L-W-W-W-W,1,0,17,8
2022-2023,4.0,,Manchester United,20,12,4,4,32:24,8,40,32,24,2.0,W,W-W-W-W-W,1,1,18,8
2022-2023,4.0,,Manchester United,21,12,4,5,34:27,7,40,34,27,1.9,L,W-W-W-W-L,1,1,19,8
2022-2023,4.0,,Manchester United,22,13,4,5,36:28,8,43,36,28,1.95,W,W-W-W-L-W,1,1,20,8
2022-2023,3.0,,Manchester United,23,14,4,5,38:28,10,46,38,28,2.0,W,W-W-L-W-W,1,0,21,9
2022-2023,3.0,,Manchester United,24,15,4,5,41:28,13,49,41,28,2.04,W,W-L-W-W-W,1,0,22,10
2022-2023,3.0,,Manchester United,25,16,4,5,42:28,14,52,42,28,2.08,W,L-W-W-W-W,1,0,23,11
2022-2023,3.0,,Manchester United,26,16,4,6,42:35,7,52,42,35,2.0,L,W-W-W-W-L,0,1,23,11
2022-2023,3.0,,Manchester United,27,16,5,6,42:35,7,53,42,35,1.96,D,W-W-W-L-D,0,0,23,12
2022-2023,4.0,,Manchester United,28,16,5,7,42:36,6,53,42,36,1.89,L,W-W-L-D-L,0,1,23,12
2022-2023,4.0,,Manchester United,29,16,5,8,42:38,4,53,42,38,1.83,L,W-L-D-L-L,0,1,23,12
2022-2023,4.0,,Manchester United,30,17,5,8,44:38,6,56,44,38,1.87,W,L-D-L-L-W,1,0,24,13
2022-2023,4.0,,Manchester United,31,18,5,8,46:38,8,59,46,38,1.9,W,D-L-L-W-W,1,0,25,14
2022-2023,4.0,,Manchester United,32,19,5,8,50:39,11,62,50,39,1.94,W,L-L-W-W-W,1,1,26,14
2022-2023,4.0,,Manchester United,33,19,6,8,52:41,11,63,52,41,1.91,D,L-W-W-W-D,1,1,27,14
2022-2023,4.0,,Manchester United,34,20,6,8,53:41,12,66,53,41,1.94,W,W-W-W-D-W,1,0,28,15
2022-2023,4.0,,Manchester United,35,20,6,9,53:42,11,66,53,42,1.89,L,W-W-D-W-L,0,1,28,15
2022-2023,4.0,,Manchester United,36,21,6,9,55:42,13,69,55,42,1.92,W,W-D-W-L-W,1,0,29,16
2022-2023,3.0,,Manchester United,37,22,6,9,56:42,14,72,56,42,1.95,W,D-W-L-W-W,1,0,30,17
2022-2023,3.0,,Manchester United,38,23,6,9,58:43,15,75,58,43,1.97,W,W-L-W-W-W,1,1,31,17
2023-2024,nan,,Manchester United,1,1,0,0,1:0,1,3,1,0,3.0,W,W,1,0,1,1
2023-2024,12.0,,Manchester United,2,1,0,1,1:2,-1,3,1,2,1.5,L,W-L,0,1,1,1
2023-2024,8.0,,Manchester United,3,2,0,1,4:4,0,6,4,4,2.0,W,W-L-W,1,1,2,1
2023-2024,11.0,,Manchester United,4,2,0,2,5:7,-2,6,5,7,1.5,L,W-L-W-L,1,1,3,1
2023-2024,13.0,,Manchester United,5,2,0,3,6:10,-4,6,6,10,1.2,L,W-L-W-L-L,1,1,4,1
