FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
606699,2276783,Kleifakór 10,203,2016-05-04,78700,77100,183200,2005,"289,3",4
606700,2111443,Hrafnaklettur 8,310,2016-05-06,8800,11100,35200,1981,"87,1",2
606701,2031516,Hamrahlíð 25,105,2016-05-06,30900,26800,73250,1955,"80,4",2
606702,2223535,Sléttahraun 19,220,2016-05-06,26500,21350,55100,1966,"88,5",2
606703,2115730,Árnatún 9,340,2016-05-14,23000,19300,44650,1980,"106,4",2
606704,2115976,Neskinn 6,340,2016-05-14,29660,27850,62250,1978,"180,4",4
606706,2093189,Fífumói 5C,260,2016-05-10,12650,11500,37400,1980,"73,1",2
606707,2068245,Valhúsabraut 17,170,2016-05-10,75500,76200,174400,1980,"287,9",3
606708,2326170,Þorrasalir 11,201,2016-05-12,43000,37600,83350,2013,"112,0",3
606709,2272577,Hlíðasmári               5 ,nan,2016-04-08,350000,24100,nan,1995,"1722,7",
606709,2272581,Hlíðasmári               5 ,nan,2016-04-08,350000,14950,nan,1996,"1722,7",
606709,2272582,Hlíðasmári               5 ,nan,2016-04-08,350000,19150,nan,1996,"1722,7",
606709,2272578,Hlíðasmári               5 ,nan,2016-04-08,350000,11800,nan,1996,"1722,7",
606709,2272579,Hlíðasmári               5 ,nan,2016-04-08,350000,12700,nan,1996,"1722,7",
606709,2221626,Hlíðasmári               7 ,nan,2016-04-08,350000,9060,nan,1995,"1722,7",
606709,2272580,Hlíðasmári               5 ,nan,2016-04-08,350000,15350,nan,1996,"1722,7",
606709,2221624,Hlíðasmári               7 ,nan,2016-04-08,350000,48800,nan,1995,"1722,7",
606709,2225219,Hlíðasmári               5 ,nan,2016-04-08,350000,14750,nan,1996,"1722,7",
606709,2221709,Hlíðasmári 5,201,2016-04-08,350000,147550,474450,1996,"1722,7",
606710,2068806,Suðurmýri 10,170,2016-04-22,54000,47200,79250,1956,"135,3",2
606711,2298133,Gulaþing 20,203,2016-04-20,40000,35550,76700,2008,"118,6",3
606712,2076129,Hringbraut 60,220,2016-05-06,29450,28050,70900,1968,"124,7",3
606713,2350185,Lundur 17,200,2016-05-11,54000,19850,99950,2015,"116,3",2
606714,2306445,Aflakór 11,203,2016-05-03,62000,52950,147350,2008,"227,6",4
606715,2248859,Blásalir 22,201,2016-05-12,38700,32550,74950,2002,"100,9",2
606716,2123727,Aðalstræti 73,450,2016-05-01,8000,7640,13900,1987,"220,0",
606717,2157162,Brekkuhús 1  nhl,604,2016-05-16,14500,14700,33150,1942,"170,2",5
606718,2130165,Eyrargata 29,580,2016-05-13,12250,11500,30650,1959,"124,0",3
606719,2290144,Ásatún 40,600,2016-05-13,29500,1935,53500,    ,"86,2",2
606720,2144800,Arnarsíða 8E,603,2016-05-13,35500,30150,76050,1979,"157,7",4
606721,2350567,Ásatún 28,600,2016-05-13,24900,1770,47900,2016,"77,9",2
606722,2350560,Ásatún 28,600,2016-05-13,24500,1765,48450,2016,"77,4",2
606723,2304044,Brekatún 14,600,2016-05-12,32500,29050,61600,2008,"120,6",3
606724,2144739,Akurgerði 7B,600,2016-05-12,32500,27750,72200,1968,"149,7",5
606725,2145879,Einholt 3,603,2016-05-17,21100,15650,42550,1963,"96,6",2
606726,2226923,Birkigrund 30,800,2016-05-04,31300,25900,75950,1995,"160,5",3
606727,2221625,Hlíðasmári 7,201,2016-04-08,410000,160100,503150,1995,"975,8",
606728,2060352,Fannborg 1,200,2016-04-22,18000,13100,35850,1978,"40,1",0
606729,2051427,Austurberg 20,111,2016-05-04,38000,30950,74550,1976,"167,2",4
606730,2076556,Kaldakinn 1,220,2016-05-04,20200,14300,38500,1954,"52,6",1
606731,2228352,Staðarberg 2-4,221,2016-05-10,40000,34300,58100,1996,"230,8",
606732,2351376,Hraungata 3,210,2016-05-11,53900,44350,104300,2015,"142,4",3
606733,2077342,Laufvangur 4,220,2016-05-13,29000,28000,69050,1970,"120,1",3
606734,2075933,Hraunbrún 43,220,2016-05-13,50000,51250,138150,1984,"248,9",6
606735,2075118,Háakinn 10,220,2016-05-12,27650,22900,59250,1955,"114,0",2
606736,2262533,Burknavellir 17A,221,2016-05-12,28900,24600,66850,2004,"91,1",2
606737,2074607,Fagraberg 2,221,2016-05-12,47600,37450,99850,1987,"148,9",3
606738,2032364,Ofanleiti 15,103,2016-05-10,42900,38550,82350,1984,"126,8",3
606739,2091142,Vatnsnesvegur 27,230,2016-04-05,25000,21250,63500,1945,"170,3",3
606740,2079765,Suðurgata 60,220,2016-05-09,45900,38650,100350,1939,"176,1",6
606741,2077790,Mávahraun 13,220,2016-05-09,66000,61100,158850,1987,"254,0",4
606742,2121272,Hafnargata 110,415,2016-05-10,13500,11350,38050,1943,"190,5",3
606743,2005429,Barónsstígur 18,101,2016-05-04,47000,33600,73550,1906,"108,4",2
606744,2347746,Skipalón 1,220,2016-05-10,37924,15400,78100,2015,"110,0",3
606745,2078179,Mjósund 2,220,2016-05-09,39500,39950,101000,1906,"161,6",3
